,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɔ,ɕ,ə,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
iɛn,,,,,"explorations (0.76),microscopy (0.69),mapping (0.7),psychotherapy (0.6),research (0.83)","wrapper (0.74),parchment (0.65),labels (0.71),label (0.77),edition (0.61)","lesbian (0.88),bisexual (0.84),virgin (0.66),bilingual (0.55),adolescents (0.72)","rectangle (0.91),overlay (0.6),diagonal (0.85),rectangles (0.86),triangular (0.79)","wrapper (0.65),overlay (0.84),cut-out (0.73),labels (0.63),overlays (0.83)",,"triangular (0.87),parallel (0.64),oval (0.75),truncated (0.73),rectangular (0.85)","overlay (0.57),slider (0.78),chips (0.57),sliders (0.8),switch (0.68)",,,"installation (0.67),alignment (0.78),mounting (0.62),threading (0.71),alignments (0.66)","installation (0.87),mounting (0.72),decoder (0.6),gasket (0.65),installations (0.72)",,,"reflections (0.64),revisions (0.68),overlay (0.58),convergence (0.63),iterations (0.71)",,,,,,"patch (0.37),topic (0.81),regarding (0.85),concerning (0.8),issue (0.85)"
iɤʊ,,,,,"skiing (0.87),rowing (0.83),polo (0.69),hiking (0.78),canoeing (0.91)","cashmere (0.84),wool (0.82),velvet (0.85),pink (0.64),fur (0.79)","dog (0.89),doggie (0.88),dogs (0.84),doggy (0.8),legged (0.72)",,,,"weighted (0.6),footed (0.78),punt (0.7),bowls (0.65),ball (0.71)",,,,"goalkeeper (0.87),defenceman (0.88),midfielder (0.94),purchases (0.36),striker (0.85)","purchases (0.64),winnings (0.77),scoops (0.61),punt (0.58),takeout (0.69)",,,"swimming (0.86),swim (0.81),skiing (0.71),legs (0.55),duck (0.64)",,,,,,"salty (0.75),oily (0.6),risky (0.53),kayaks (0.71),kayak (0.74)"
iʊŋ,,,,,,,,,,,,,,,"besieged (0.8),insurgent (0.6),seized (0.77),rushed (0.65),unleashed (0.71)","clutch (0.77),carriers (0.53),lever (0.71),piggy (0.56),solenoid (0.76)",,,"kitties (0.89),feline (0.83),kittens (0.91),kitten (0.89),cats (0.91)",,,,,,
n,,,,,,,,,,,,,,,,,,,,"kin (0.59),dear (0.76),owe (0.6),yes (0.64),god (0.67)",,,,,
u,"transfers (0.79),proceeds (0.76),levy (0.65),transfer (0.78),dowry (0.65)",,"vacancies (0.51),structure (0.73),skeletal (0.73),bones (0.71),houses (0.58)","groan (0.85),groaning (0.8),moan (0.76),roof (0.49),butts (0.53)","diffs (0.62),woods (0.63),gore (0.51),hadith (0.67),trail (0.69)","poo (0.84),dung (0.84),fleas (0.72),feces (0.85),bedding (0.64)","scat (0.82),incest (0.8),musk (0.54),bestiality (0.84),homo (0.64)","deplorable (0.74),inadequate (0.82),grossly (0.76),cluttered (0.65),burdensome (0.78)","pile (0.8),awful (0.61),lumpy (0.73),piles (0.76),undue (0.53)","sentences (0.68),commuted (0.67),errands (0.65),computations (0.67),searches (0.6)","generalized (0.74),interrelated (0.75),unwieldy (0.72),unexplained (0.66),logical (0.72)","discrepancies (0.78),undue (0.64),discrepancy (0.87),girth (0.69),shortness (0.78)","brigades (0.56),consisting (0.8),consisted (0.81),subdivided (0.69),systematically (0.65)","sack (0.66),splitting (0.71),pulling (0.77),stuffing (0.77),brigades (0.52)",,,"wallpaper (0.63),dyes (0.64),sugar (0.5),paintings (0.63),diploma (0.58)",,,,"bathe (0.65),cub (0.73),pet (0.67),knelt (0.43),otters (0.7)","graduate (0.89),retiree (0.73),student (0.82),enlisted (0.71),enrolled (0.8)","member (0.84),household (0.56),employed (0.59),members (0.79),founders (0.71)","extractor (0.55),clippings (0.64),bins (0.76),bin (0.79),dumpster (0.61)","bathe (0.49),tho (0.54),fleas (0.69),no (0.5),poo (0.65)"
uan,,,"exchanges (0.58),institutions (0.81),structures (0.7),macroeconomic (0.63),sectors (0.76)","openings (0.77),irregularities (0.62),outlets (0.69),venues (0.68),closures (0.65)","banter (0.65),twists (0.7),dyno (0.5),strips (0.72),scenes (0.74)",,"touchy (0.72),dichotomy (0.62),ambiguous (0.77),slippery (0.7),sensuous (0.56)",,,"introspective (0.82),psychotherapy (0.73),contemplative (0.83),dissociation (0.57),psychedelic (0.65)","disjointed (0.82),convoluted (0.81),tense (0.71),back-and-forth (0.71),north-south (0.52)","disjointed (0.77),convoluted (0.81),baffling (0.88),maddening (0.84),disconcerting (0.76)","interchange (0.59),centering (0.73),winding (0.8),threading (0.77),parallel (0.76)","line (0.67),halves (0.65),splits (0.77),fronts (0.68),seam (0.69)",,,"exchanges (0.46),vibrancy (0.73),nostalgic (0.59),watercolors (0.65),fluorescence (0.66)",,,,"adhesive (0.72),electrodes (0.86),electrode (0.78),clamps (0.69),slides (0.56)","psychologist (0.75),painter (0.84),astrologer (0.77),disillusioned (0.6),watercolor (0.59)","broadcaster (0.54),organizer (0.65),assemblies (0.63),fastener (0.75),slotted (0.58)","fastener (0.74),receiver (0.69),slotted (0.69),nozzle (0.66),clutch (0.74)","surreal (0.77),dichotomy (0.72),melodrama (0.69),paradoxical (0.78),touristic (0.56)"
uaɪ,,,"dysfunctional (0.74),depressing (0.87),sad (0.73),surreal (0.7),small-town (0.67)","travesty (0.67),happenings (0.57),realignment (0.63),shenanigans (0.77),debacle (0.84)",,,,,,,,,,,,,"wedding (0.85),flickr (0.5),mourning (0.63),prom (0.76),homecoming (0.78)",,,,,"beading (0.74),photographers (0.68),scrapbooking (0.74),photographer (0.71),cytometry (0.55)",,,"fun (0.76),artsy (0.62),sad (0.56),antics (0.66),silliness (0.71)"
ueɪ,,,"breached (0.84),compromised (0.82),obstructed (0.73),breach (0.8),unsecured (0.76)","breach (0.93),breaches (0.88),breached (0.82),intrusion (0.76),liability (0.76)",,,,,,"interceptions (0.74),hit-and-run (0.76),interception (0.76),reckless (0.63),wrongfully (0.61)","borderline (0.62),dangerously (0.83),obstructed (0.61),dangerous (0.83),treacherous (0.74)","obstruction (0.9),intrusion (0.72),obstructed (0.8),interception (0.69),obstructions (0.83)","defeating (0.75),offensive (0.68),contending (0.66),hit-and-run (0.68),borderline (0.61)","against (0.76),thwart (0.69),defeating (0.82),interception (0.7),offensive (0.64)",,,"pollutants (0.81),wastewater (0.84),rainwater (0.81),damages (0.58),seawater (0.76)",,,,"harmless (0.76),contaminants (0.6),innocent (0.66),sheltered (0.61),alkaline (0.65)","swimmer (0.59),contaminants (0.72),rainwater (0.75),discharged (0.68),liabilities (0.61)","infielder (0.84),defending (0.59),outfielder (0.85),champion (0.73),fouled (0.7)","disposing (0.7),disposed (0.77),berth (0.63),ejected (0.72),interception (0.6)","harmless (0.75),harmful (0.79),unworthy (0.73),guilty (0.67),polluted (0.69)"
uɑ,,,"beaded (0.7),leaf (0.66),mosaic (0.75),spiral (0.68),lattice (0.76)","crackle (0.58),exploding (0.72),sprouting (0.57),paneling (0.46),boom (0.6)",,,,,,,,,,,,,"beaded (0.75),glitter (0.86),sequins (0.88),stencil (0.7),cobalt (0.63)",,,,,"beaded (0.77),glitter (0.79),stencil (0.69),beads (0.8),dye (0.7)","comb (0.82),scissors (0.7),combs (0.82),extractor (0.53),sprouting (0.48)",,"beaded (0.85),leaf (0.55),bead (0.78),dye (0.69),tulle (0.73)"
uɑŋ,,,"storefront (0.78),atrium (0.7),chandeliers (0.67),marketplaces (0.7),ever-changing (0.65)","storefront (0.68),shutters (0.8),chandeliers (0.73),windows (0.84),dome (0.58)",,,,,,,,,,,,,"beaded (0.75),turquoise (0.78),chandeliers (0.74),deco (0.73),pendants (0.79)",,,,,"beaded (0.89),rhinestone (0.82),handcrafted (0.69),pendant (0.79),beading (0.73)","beaded (0.68),rhinestone (0.74),tabletop (0.56),topper (0.72),fixture (0.64)","tabletop (0.74),countertop (0.74),pop-up (0.59),topper (0.63),fixture (0.7)","beaded (0.8),turquoise (0.84),glow (0.56),aqua (0.8),bead (0.67)"
uɔ,"como (0.78),ralph (0.8),oakley (0.79),santa (0.7),moto (0.66)",,"adobe (0.61),fractured (0.72),cracked (0.67),marketplaces (0.43),fracture (0.67)","cracked (0.73),crack (0.71),exploding (0.65),collapse (0.67),gaping (0.71)","alex (0.85),como (0.8),las (0.77),adam (0.83),moto (0.59)","hentai (0.61),chia (0.62),dell (0.73),och (0.74),poor-quality (0.64)","incest (0.76),adam (0.71),scat (0.69),virgin (0.69),como (0.62)","plagued (0.93),hampered (0.79),mismanagement (0.67),beset (0.84),riddled (0.77)","poor-quality (0.52),mismanagement (0.72),riddled (0.79),gaping (0.61),plagued (0.78)","self-taught (0.81),co-written (0.71),watercolor (0.6),mentored (0.78),experimented (0.71)","non-linear (0.63),fractured (0.69),intractable (0.7),hampered (0.65),adrenal (0.62)","harry (0.72),avalanche (0.46),peter (0.68),narrowing (0.68),gaping (0.6)","spearheaded (0.85),collaborated (0.8),guerrilla (0.65),co-founded (0.75),mastermind (0.67)","threw (0.76),tore (0.72),mastermind (0.53),attempted (0.68),chuck (0.51)",,,"indigo (0.78),ceramics (0.61),jade (0.84),cobalt (0.8),pandora (0.63)",,,,"quartz (0.66),dell (0.74),sony (0.69),exposed (0.41),tapped (0.58)","mentored (0.74),interned (0.72),digitally (0.66),indigo (0.52),inspired (0.69)","co-founded (0.64),fledgling (0.72),artisans (0.71),crafters (0.67),founders (0.78)","out (0.61),spread (0.72),brought (0.75),popped (0.77),releasing (0.57)","adam (0.84),chia (0.59),como (0.76),hav (0.59),brian (0.78)"
uən,,,"strata (0.7),vacancies (0.69),foundations (0.61),grievances (0.58),mess (0.59)","sigh (0.78),frown (0.73),cracks (0.56),contents (0.37),gloom (0.68)","diffs (0.62),gist (0.81),facts (0.8),topic (0.74),vague (0.67)",,,,,"hazy (0.62),introspective (0.84),ramblings (0.72),recollections (0.8),introspection (0.81)","lump (0.6),logical (0.62),vague (0.71),thick (0.71),sections (0.66)","cursory (0.58),disagreement (0.75),discrepancies (0.64),topic (0.77),crux (0.65)","positions (0.64),right-hand (0.81),circle (0.68),mentors (0.48),left-hand (0.73)","agendas (0.69),pile (0.73),doctrinal (0.62),piles (0.78),archives (0.63)",,,"outlook (0.57),abstracts (0.7),amber (0.45),thoughts (0.64),snapshots (0.62)",,,,"soapy (0.61),forums (0.61),admins (0.63),buff (0.68),wax (0.55)","thoughts (0.74),reflections (0.76),academic (0.58),recollections (0.8),scholarly (0.77)","editors (0.88),columnists (0.85),administrators (0.73),contributors (0.82),left-wing (0.6)","drawer (0.72),lids (0.67),editors (0.56),shelf (0.67),contributors (0.51)","hazy (0.78),icky (0.58),misty (0.68),topic (0.57),curious (0.61)"
uəŋ,,,,,,,,,,,,,,,,,,,,,,,,,"moon (0.88),tides (0.63),sun (0.81),sky (0.86),earth (0.78)"
y,,,,,"distances (0.77),routes (0.86),courses (0.7),excursions (0.66),route (0.81)",,"naturalist (0.64),adolescents (0.75),scholars (0.62),caretakers (0.68),adolescent (0.76)",,,,,,,,"move (0.56),cross-country (0.65),tackle (0.65),tandem (0.71),blocks (0.54)","apart (0.58),derail (0.69),move (0.76),vacate (0.68),rails (0.54)",,,"nap (0.64),life (0.54),swim (0.61),redo (0.61),abandon (0.65)",,,,,,"why (0.79),know (0.84),kin (0.41),tho (0.59),ask (0.68)"
yn,,,,,,,,,,,,,,,"disrupted (0.77),electrification (0.63),deployed (0.66),relocation (0.63),fostered (0.61)","caravan (0.7),relocation (0.73),abandon (0.53),evicted (0.61),electrification (0.68)",,,"carefree (0.64),unstructured (0.65),assimilation (0.6),migratory (0.65),watercolor (0.6)",,,,,,"migrants (0.71),migratory (0.78),joyful (0.57),altruistic (0.71),nomadic (0.75)"
yœ,,,,,"pharmacology (0.86),research (0.73),psychotherapy (0.81),psychoanalysis (0.82),neurology (0.8)",,"playwrights (0.81),undergraduate (0.84),college (0.67),undergraduates (0.89),storytellers (0.71)",,,,,,,,"cross-country (0.58),struggle (0.69),crossroads (0.69),ultimately (0.66),intervening (0.6)","cross-country (0.57),redistricting (0.66),outset (0.49),standstill (0.74),stalled (0.68)",,,"mathematics (0.82),humanities (0.88),neurology (0.78),anthropology (0.85),linguistics (0.9)",,,,,,"geography (0.81),layman (0.67),scholars (0.58),question (0.74),history (0.72)"
yɔ,,,,,,,,,,,,,,,,,,,,,,,,,"me (0.49),tho (0.88),ihe (0.74),wan (0.61),teh (0.76)"
yɛn,,,,,,,,,,,,,,,"alignments (0.79),alignment (0.82),block (0.6),interchange (0.7),path (0.7)","interchange (0.75),installation (0.64),realignment (0.56),circuit (0.67),rails (0.56)",,,"revisions (0.67),revisit (0.73),reflections (0.64),sabbatical (0.66),path (0.43)",,,,,,"symposium (0.76),observatory (0.5),conferences (0.7),counsel (0.61),retraction (0.62)"
ɑ,"discharges (0.66),indiscriminate (0.67),discharging (0.74),unlawfully (0.77),unlawful (0.78)",,"rammed (0.67),fist (0.81),clenched (0.77),mouth (0.63),tin (0.43)","sunroof (0.56),rectum (0.58),leaking (0.73),spill (0.61),stairwell (0.65)","ralph (0.86),lauren (0.81),tar (0.54),santa (0.71),john (0.82)","fur (0.73),velvet (0.74),bunny (0.64),bran (0.49),brown (0.73)","papa (0.8),adam (0.87),ralph (0.79),santa (0.76),john (0.86)","tore (0.6),wad (0.64),fist (0.69),shoved (0.86),shoving (0.75)","wad (0.63),oozing (0.78),snot (0.66),tore (0.61),gaping (0.7)","chop (0.53),threw (0.44),ralph (0.77),napoleon (0.73),roth (0.73)","rammed (0.81),pounding (0.77),banged (0.84),clenched (0.75),dick (0.65)","ass (0.81),dick (0.75),fist (0.77),clenched (0.75),shoved (0.74)","ax (0.82),chop (0.8),broom (0.61),chopping (0.79),axe (0.87)","dig (0.66),threw (0.58),broom (0.58),poop (0.65),digging (0.7)",,,"smelt (0.63),fry (0.57),suit (0.61),from (0.55),sue (0.55)",,,,,"wounding (0.75),shooting (0.87),shoots (0.78),killing (0.79),shoot (0.79)","axe (0.58),stump (0.6),payroll (0.64),watchlist (0.64),scouting (0.62)","stump (0.66),watchlist (0.61),clippings (0.7),excavation (0.64),survey (0.72)","wan (0.77),dat (0.85),hav (0.76),ah (0.68),goo (0.48)"
ɑŋ,"unlawful (0.81),unlawfully (0.84),flights (0.49),prohibited (0.8),restricts (0.64)",,"appartment (0.61),roof (0.7),mouth (0.59),lungs (0.65),stairs (0.71)","appartment (0.78),kitchenette (0.86),fridge (0.73),sunroof (0.61),spacious (0.79)","yang (0.69),papa (0.78),santa (0.79),san (0.85),ralph (0.74)","fluffy (0.77),goose (0.72),fur (0.84),velvet (0.69),furry (0.78)","papa (0.74),santa (0.77),doggie (0.78),sleigh (0.67),bunny (0.77)","roomy (0.86),chest (0.58),walled (0.61),spacious (0.82),zippered (0.78)","gaping (0.76),bulging (0.83),croissants (0.53),chest (0.63),granite (0.52)","dangerously (0.73),spacious (0.61),exceedingly (0.76),impossibly (0.84),frigid (0.7)","spacious (0.82),three-story (0.7),roomy (0.81),impossibly (0.78),unbelievably (0.76)","stairway (0.88),stairs (0.78),jacuzzi (0.8),tub (0.7),roof (0.71)","orchard (0.81),elm (0.69),two-story (0.74),maison (0.63),wooded (0.69)","cellar (0.76),peaches (0.45),stairs (0.72),stairway (0.77),orchard (0.71)",,,"safest (0.79),walkable (0.72),accommodations (0.72),cleanest (0.76),spacious (0.77)",,,,"inn (0.69),ther (0.59),inns (0.71),roam (0.67),alike (0.52)","guestrooms (0.66),accommodations (0.8),year-round (0.76),on-premises (0.79),off-campus (0.79)","flat-screen (0.56),marketplaces (0.59),lodging (0.72),inn (0.8),tavern (0.75)","flat-screen (0.67),vineyard (0.74),vineyards (0.73),cellar (0.69),minibar (0.6)","supremely (0.85),roomy (0.8),unbelievably (0.83),spacious (0.79),downright (0.75)"
ɑɻ,,,,,,,,,,,,,,,,,,,,,,,,,"wan (0.74),ther (0.71),ah (0.71),etc (0.73),como (0.65)"
ɑʊ,,,"defiantly (0.64),shout (0.66),restaurant (0.65),loudly (0.74),restaurants (0.64)","shout (0.81),mouth (0.49),laugh (0.86),chuckle (0.87),giggles (0.76)","santa (0.81),papa (0.81),doggie (0.67),san (0.76),bon (0.7)","bunny (0.85),fur (0.68),bunnies (0.79),fluffy (0.74),poodle (0.79)","furry (0.77),bunny (0.84),bunnies (0.81),papa (0.56),fluffy (0.74)","blasting (0.76),pounding (0.79),punching (0.79),punch (0.69),rampage (0.64)","tear (0.57),grin (0.82),drool (0.76),shoving (0.46),smirk (0.81)","crows (0.76),geese (0.91),goose (0.79),ducks (0.83),fro (0.5)","pounding (0.83),rammed (0.79),pounded (0.88),banged (0.81),yelling (0.56)","pounding (0.59),grin (0.7),giggles (0.83),giggling (0.85),yelled (0.74)","mowing (0.67),mow (0.7),ambush (0.73),ambushed (0.77),downed (0.61)","whip (0.64),shovel (0.66),threw (0.59),sneak (0.52),hay (0.56)",,,"clubbing (0.57),nonstop (0.83),boisterous (0.68),quieter (0.6),non-stop (0.86)",,,,"boo (0.64),taunt (0.67),banter (0.63),dogs (0.5),greet (0.71)","broadcasts (0.67),off-duty (0.56),bystanders (0.69),unauthorized (0.59),screenings (0.69)","hacks (0.66),executions (0.66),dailies (0.75),dispatches (0.63),scouting (0.61)","scouting (0.61),ambush (0.8),carnage (0.69),assassination (0.76),backstage (0.61)","boo (0.67),peeps (0.72),kitties (0.83),cats (0.72),hoot (0.59)"
ən,"dissent (0.56),octave (0.85),consonant (0.78),amplitude (0.73),harmonics (0.82)",,"opinions (0.74),opinion (0.69),core (0.61),deepest (0.65),throats (0.52)","emphatic (0.66),solidly (0.66),firmer (0.78),unequivocal (0.71),footing (0.71)",,"boy (0.8),dear (0.73),daddy (0.8),kin (0.65),mama (0.85)",,"rubric (0.48),lump (0.64),clenched (0.7),fist (0.73),weighty (0.69)","shove (0.7),wad (0.71),spoonful (0.63),tears (0.49),spit (0.72)","mama (0.72),christian (0.71),jewish (0.71),pinky (0.58),mommy (0.71)",,,,,,,"throats (0.74),voices (0.68),throat (0.69),deepest (0.58),opinions (0.58)",,,,"open-minded (0.83),loyal (0.71),genuinely (0.76),privileged (0.73),knowledgeable (0.76)","faculty (0.72),believers (0.65),exalted (0.59),undergraduate (0.66),consciousness (0.64)","faith (0.71),faculty (0.56),exalted (0.72),believer (0.7),humbled (0.76)","humbled (0.67),devotion (0.85),believer (0.68),faith (0.83),reverence (0.78)",
