แล้ว	lɛ́ːw
วิธี	wíʔ tʰiː
ทำให้	tʰam hâj
พูดว่า	pʰûːt wâː
สอง	sɔ̌ːŋ
พฤษภาคม	pʰrɯ́t sà pʰaː kʰom
ทราบ	sâːp
งั้น	ŋán
ดู	duː
หลัง	lǎŋ
ที่สุด	tʰîː sùt
ดี	diː
ปี	piː
เหล่านี้	làw níː
ตอนนี้	tɔːn níː
ใช้	tɕʰáj
เพราะ	pʰrɔ́ʔ
อืม	ʔɯːm
งาน	ŋaːn
สามารถ	sǎː mâːt
เรา	raw
ดอน	dɔːn
หนทาง	hǒn tʰaːŋ
มากมาย	mâːk maːj
กลับ	klàp
หลาย	lǎːj
คิด	kʰít
ที่ไหน	tʰîː nǎj
แม้ว่า	mɛ́ː wâː
เขา	kʰǎw
ผ่าน	pʰàːn
เช้า	tɕʰáːw
ที่นี่	tʰîː nîː
ทำให้	tʰam hâj
ปี	piː
ควร	kʰuːan
จริง	tɕiŋ
การ	kaːn
เช่น	tɕʰên
ต้องการ	tɔ̂ŋ kaːn
ยอด	jɔ̂ːt
วัน	wan
ก่อน	kɔ̀ːn
อยาก	jàːk
ใช้	tɕʰáj
ไป	paj
เหล่านั้น	làw nán
ถูก	tʰùːk
เอา	ʔaw
ยัง	jaŋ
ล่าสุด	lâː sùt
ออก	ʔɔ̀ːk
ด้วย	dûaj
กำลังไป	kam laŋ paj
ดีที่สุด	diː tʰîː sùt
ค้นหา	kʰón hǎː
รัก	rák
ทำ	tʰam
ขณะ	kʰà nàʔ
บาน	baːn
เดียวกัน	diːaw kan
รอบ	rɔ̂ːp
ช่วย	tɕʰûaj
ดาวน์	daːw
ข้อมูล	kʰɔ̂ː muːn
สถานที่	sà tʰǎːn tʰîː
ฉัน	tɕʰǎn
เล็กน้อย	lék nɔ́ːj
ชีวิต	tɕʰiː wít
ระหว่าง	ráʔ wàːŋ
แต่ละ	tɛ̀ː láʔ
เป็นเจ้าของ	pen tɕâw kʰɔ̌ːŋ
ทั้ง	tʰáŋ
โลก	lôːk
ส่วน	sùːan
น้อย	nɔ́ːj
พูด	pʰûːt
ดู	duː
สิ่งของ	sìŋ kʰɔ̌ːŋ
พูด	pʰûːt
ทำ	tʰam
ทุก	tʰúk
บางสิ่งบางอย่าง	baːŋ sìŋ baːŋ jàːŋ
ระหว่าง	ráʔ wàːŋ
โดน	doːn
ตั้งแต่	tâŋ tɛ̀ː
เจอ	tɕɤː
นาน	naːn
ต่าง	tàːŋ
พูดว่า	pʰûːt wâː
ไม่เคย	mâj kʰɤːj
อื่น	ʔɯ̀ːn
ดีกว่า	diː kwàː
โดยใช้	doːj tɕʰáj
เสรี	sěː riː
ใต้	tâj
สาม	sǎːm
ครอบครัว	kʰrɔ̂ːp kʰruːa
รวมทั้ง	ruːam tʰáŋ
ตลอด	tà lɔ̀ːt
ต่อไป	tɔ̀ː paj
มา	maː
ปราศจาก	pràːt sà tɕàːk
อีก	ʔìːk
เกมส์	keːm
วัน	wan
ตั้ง	tâŋ
หมายเลข	mǎːj lêːk
ยุติ	jút tìʔ
มาก	mâːk
กิจการ	kìt tɕà kaːn
แน่นอน	nɛ̂ː nɔːn
ระบบ	ráʔ bòp
สมุด	sà mùt
ต่อ	tɔ̀ː
ไฮ	haj
ต้อง	tɔ̂ŋ
มีอยู่	miː jùː
อาจ	ʔàːt
แสดง	sà dɛːŋ
พื้นที่	pʰɯ́ːn tʰîː
สัปดาห์	sàp daː
ห่าง	hàːŋ
ทีม	tʰiːm
ชื่อ	tɕʰɯ̂ː
จนกว่า	tɕon kwàː
ให้	hâj
สิ่ง	sìŋ
อ่าน	ʔàːn
ใส่	sàj
เล็ก	lék
โรงเรียน	roːŋ riːan
รู้สึก	rúː sɯ̀k
วินาที	wíʔ naː tʰiː
องค์กร	ʔoŋ kɔːn
เก่า	kàw
ไม่ได้	mâj dâj
หน้า	nâː
เก็บ	kèp
ท็อป	tʰɔ́p
ทำไม	tʰam maj
ไซต์	saj
โพส	pʰôːt
วันนี้	wan níː
ภายใน	pʰaːj naj
บริการ	bɔː ríʔ kaːn
มี	miː
มอง	mɔːŋ
ประเด็น	pràʔ den
ข้อมูล	kʰɔ̂ː muːn
แม้ว่า	mɛ́ː wâː
ฟู	fuː
สามารถ	sǎː mâːt
เหลือ	lɯ̌ːa
รองรับ	rɔːŋ ráp
ประสบการณ์	pràʔ sòp kaːn
ห้อง	hɔ̂ːŋ
นํ้า	nam
รัฐ	rát
ใหญ่	jàj
ลำดับ	lam dàp
ข่าว	kʰàːw
คดี	kʰá diː
การทำ	kaːn tʰam
พอ	pʰɔː
ที่ผ่านมา	tʰîː pʰàːn maː
เฮ้าส์	háːw
เด็ก	dèk
ท้องถิ่น	tʰɔ́ːŋ tʰìn
เริ่ม	rɤ̂ːm
ครั้ง	kʰráŋ
เรียกว่า	rîːak wâː
เคย	kʰɤːj
จบ	tɕòp
เปลี่ยน	plìːan
เล่น	lên
กลุ่ม	klùm
ทำงาน	tʰam ŋaːn
ซึ่งเป็นรากฐาน	sɯ̂ŋ pen râːk tʰǎːn
ออนไลน์	ʔɔːn laj
คอร์ส	kʰɔ̂ːs
น้อยที่สุด	nɔ́ːj tʰîː sùt
ไม่	mâj
เงิน	ŋɤn
ชนะ	tɕʰá náʔ
แมน	mɛːn
น้อย	nɔ́ːj
สำคัญ	sǎm kʰan
ลอง	lɔːŋ
ได้รับ	dâj ráp
คิด	kʰít
สาธารณะ	sǎː tʰaː rá náʔ
จริงๆ แล้ว	tɕiŋ tɕiŋ lɛ́ːw
เรียบร้อยแล้ว	rîːap rɔ́ːj lɛ́ːw
ราตรี	raː triː
บุคคล	bùk kʰon
อีกครั้ง	ʔìːk kʰráŋ
ไป	paj
เรื่อง	rɯ̂ːaŋ
หลาย	lǎːj
ทีหลัง	tʰiː lǎŋ
ทำให้	tʰam hâj
ข้าง	kʰâːŋ
รายการ	raːj kaːn
ติดตาม	tìt taːm
มา	maː
ทำ	tʰam
พลัง	pʰá laŋ
ใหญ่	jàj
ฤดูกาล	rɯ́ʔ duː kaːn
จัดเตรียม	tɕàt triːam
เว็บไซต์	wép saj
กัด	kàt
ไกล	klaj
จริง	tɕiŋ
เป็นที่รู้จัก	pen tʰîː rúː tɕàk
เอามา	ʔaw maː
ซิตี้	síʔ tîː
อนุญาต	ʔà núʔ jâːt
ตาม	taːm
ด้วยกัน	dûaj kan
ต่อ	tɔ̀ː
บ่อยๆ	bɔ̀ːj bɔ̀ːj
ดนตรี	don triː
ยาก	jâːk
แชร์	tɕʰɛː
บรรทัด	ban tʰát
กระบวนการ	kràʔ buːan kaːn
สนใจ	sǒn tɕaj
อื่นๆ	ʔɯ̀ːn ʔɯ̀ːn
เปิด	pɤ̀ːt
รถ	rót
บริการ	bɔː ríʔ kaːn
รวม	ruːam
อาหาร	ʔaː hǎːn
เริ่ม	rɤ̂ːm
ง่ายดาย	ŋâːj daːj
ประเทศ	pràʔ tʰêːt
เดือน	dɯːan
ข้อเท็จจริง	kʰɔ̂ː tʰét tɕiŋ
สตรี	sà triː
ยัง	jaŋ
นักศึกษา	nák sɯ̀k sǎː
บางคน	baːŋ kʰon
ครั้งหนึ่ง	kʰráŋ nɯ̀ŋ
สด	sòt
ปัญหา	pan hǎː
หนี	nǐː
วิดีโอ	wíʔ diː ʔoː
กลายเป็น	klaːj pen
รัฐบาล	rát tʰà baːn
ทุกอย่าง	tʰúk jàːŋ
อนุกรม	ʔà núʔ krom
อะไรก็ตาม	ʔàʔ raj kɔ̂ː taːm
สี่	sìː
วิธี	wíʔ tʰiː
อยู่	jùː
ต้น	tôn
เป็นไปได้	pen paj dâj
อดีต	ʔà dìːt
ออกแบบ	ʔɔ̀ːk bɛ̀ːp
คุณภาพ	kʰun ná pʰâːp
เห็น	hěn
ที่ให้ไว้	tʰîː hâj wáj
สวย	sǔaj
บล็อก	bà lɔ́k
ฟิล์ม	fim
สวย	sǔaj
ประวัติ	pràʔ wàt
งาน	ŋaːn
โทร	tʰoː
ใจดี	tɕaj diː
ศรัทธา	sàt tʰaː
ชุมชน	tɕʰum tɕʰon
ความต้องการ	kʰwaːm tɔ̂ŋ kaːn
เลเวล	leː weːn
โปรแกรม	proː krɛːm
ร่างกาย	râːŋ kaːj
ดู	duː
เพื่อน	pʰɯ̂ːan
คอนโทรล	kʰɔːn tʰroːn
มา	maː
ผลิตภัณฑ์	pʰà lìt tà pʰan
ฟอร์ม	fɔːm
เหนือ	nɯ̌ːa
สุขภาพ	sùk kʰà pʰâːp
นาที	naː tʰiː
อาจจะ	ʔàːt tɕàʔ
ชั่วโมง	tɕʰûːa moːŋ
สนุกสนาน	sà nùk sà nǎːn
ทั้ง	tʰáŋ
เฮด	hêːt
ตัวอย่าง	tuːa jàːŋ
ผลิตภัณฑ์	pʰà lìt tà pʰan
โปรด	pròːt
ใกล้	klâj
งดงาม	ŋót ŋaːm
ตลาด	tà làːt
ข้าม	kʰâːm
ทั้งหมด	tʰáŋ mòt
เสนอ	sà nɤ̌ː
ค่อนข้าง	kʰɔ̂ːn kʰâːŋ
พยายาม	pʰá jaː jaːm
ราคา	raː kʰaː
บอก	bɔ̀ːk
ความคิด	kʰwaːm kʰít
สมาชิก	sà maː tɕʰík
แสง	sɛ̌ːŋ
ล้าน	láːn
โสด	sòːt
สมบูรณ์แบบ	sǒm buːn bɛ̀ːp
หวัง	wǎŋ
เข้าถึง	kʰâw tʰɯ̌ŋ
วิจัย	wíʔ tɕaj
เนื่องจาก	nɯ̂ːaŋ tɕàːk
บอก	bɔ̀ːk
ดูเหมือนว่า	duː mɯ̌ːan wâː
เพิ่ม	pʰɤ̂ːm
เกือบ	kɯ̀ːap
ปัจจุบัน	pàt tɕùʔ ban
เตี้ย	tîːa
เลว	leːw
เกมส์	keːm
โครงการ	kʰroːŋ kaːn
รีวิว	riː wiw
หัตถ์	hàt
อีเมล์	ʔiː meː
ใกล้	klâj
ด้านล่าง	dâːn lâːŋ
บุรุษ	bùʔ rùt
ต้องการ	tɔ̂ŋ kaːn
สร้าง	sâːŋ
ไม่มีอะไร	mâj miː ʔàʔ raj
คำถาม	kʰam tʰǎːm
เดอ	dɤː
พิเศษ	pʰíʔ sèːt
ทุกคน	tʰúk kʰon
เนื้อหา	nɯ́ːa hǎː
อนาคต	ʔà naː kʰót
ค่อนข้าง	kʰɔ̂ːn kʰâːŋ
ตรวจ	trùːat
การพา	kaːn pʰaː
ทำงาน	tʰam ŋaːn
เดือน	dɯːan
หน้า	nâː
กฎ	kòt
อวกาศ	ʔà wá kàːt
ข่าว	kʰàːw
สาเหตุ	sǎː hèːt
เพิ่ม	pʰɤ̂ːm
คือ	kʰɯː
ใครก็ได้	kʰraj kɔ̂ː dâj
รายงาน	raːj ŋaːn
ไม่ว่า	mâj wâː
เมเจอร์	meː tɕɤː
หลัก	làk
ยัง	jaŋ
พัฒนา	pʰát tʰá naː
กิจกรรม	kìt tɕà kam
ผลลัพธ์	pʰǒn láp
ส่วนตัว	sùːan tuːa
โดยเฉพาะ	doːj tɕʰà pʰɔ́ʔ
หมายถึง	mǎːj tʰɯ̌ŋ
ปัญหา	pan hǎː
ห้า	hâː
สังคม	sǎŋ kʰom
เดิม	dɤːm
ยุค	júk
เกิด	kɤ̀ːt
ถ่าย	tʰàːj
การดำรงชีวิต	kaːn dam roŋ tɕʰiː wít
เลี้ยง	líːaŋ
อ่าน	ʔàːn
รังเกียจ	raŋ kìːat
ศึกษา	sɯ̀k sǎː
อาคาร	ʔaː kʰaːn
ผลลัพธ์	pʰǒn láp
พิมพ์	pʰim
หน้าตา	nâː taː
ตั้งอยู่	tâŋ jùː
คุณสมบัติ	kʰun ná sǒm bàt
ลมปาก	lom pàːk
ปาร์ตี้	paː tîː
ต้องการ	tɔ̂ŋ kaːn
ไซส์	saj
แผน	pʰɛ̌ːn
ปัญหา	pan hǎː
อื่น	ʔɯ̀ːn
ค้นหา	kʰón hǎː
ดำ	dam
เวอร์ชั่น	wɤː tɕʰân
รวม	ruːam
หนังสือ	nǎŋ sɯ̌ː
ที่ให้ไว้	tʰîː hâj wáj
เยี่ยม	jîːam
คู่รัก	kʰûː rák
ไวท์	waj
ปัจจุบัน	pàt tɕùʔ ban
ลิงค์	liŋ
ชำระ	tɕʰam ráʔ
ที่มา	tʰîː maː
หน้าตา	nâː taː
เด็ก	dèk
คำถาม	kʰam tʰǎːm
เพื่อน	pʰɯ̂ːan
เข้าใจ	kʰâw tɕaj
อย่างไรก็ตาม	jàːŋ raj kɔ̂ː taːm
มนุษย์	má nút
กลายเป็น	klaːj pen
ค่า	kʰâː
ย้าย	jáːj
ไกลออกไป	klaj ʔɔ̀ːk paj
สมาชิก	sà maː tɕʰík
ท่ามกลาง	tʰâːm klaːŋ
ครึ่ง	kʰrɯ̂ŋ
สัปดาห์	sàp daː
ที่สาม	tʰîː sǎːm
สื่อ	sɯ̀ː
แท้	tʰɛ́ː
เร็วๆ นี้	rew níː
ระยะ	ráʔ jáʔ
ได้รับ	dâj ráp
จุด	tɕùt
จัดขึ้น	tɕàt kʰɯ̂n
อิมเมจ	ʔim mêːt
ชื่อ	tɕʰɯ̂ː
ทรัพย์	sáp
ทาวน์	tʰaːw
แสดง	sà dɛːŋ
ข้อเสนอ	kʰɔ̂ː sà nɤ̌ː
ภาพยนตร์	pʰâːp pʰá jon
แฮปปี้	hɛ̂ːp pîː
ถาม	tʰǎːm
ภายนอก	pʰaːj nɔ̂ːk
หลากหลาย	làːk lǎːj
เขียน	kʰǐːan
ฯลฯ	lá
เรียน	riːan
ติดต่อ	tìt tɔ̀ː
เมื่อ	mɯ̂ːa
สไตล์	sà taj
โทรศัพท์	tʰoː rá sàp
หยุด	jùt
สร้าง	sâːŋ
ตำแหน่ง	tam nɛ̀ŋ
เขียน	kʰǐːan
วิ่ง	wîŋ
ศิลปะ	sǐn lá pàʔ
ต่ำ	tàm
เด็ก	dèk
หัวใจ	hǔːa tɕaj
เดท	dèːt
สำคัญ	sǎm kʰan
ง่ายๆ	ŋâːj ŋâːj
ที่อยู่	tʰîː jùː
เล่น	lên
คล้าย	kʰláːj
เพียง	pʰiːaŋ
ออฟฟิศ	ʔɔ̀ːf fít
เพลิน	pʰlɤːn
ตัวฉันเอง	tuːa tɕʰǎn ʔeːŋ
เห็น	hěn
ด้านหลัง	dâːn lǎŋ
ครบ	kʰróp
บัตร	bàt
ตาย	taːj
ปัญหา	pan hǎː
ไม่ได้	mâj dâj
ประสิทธิภาพ	pràʔ sìt tʰíʔ pʰâːp
เปิด	pɤ̀ːt
การกระทำ	kaːn kràʔ tʰam
เรียนรู้	riːan rúː
ผ่าน	pʰàːn
แม่ทัพ	mɛ̂ː tʰáp
ข้อเสนอ	kʰɔ̂ː sà nɤ̌ː
รวมถึง	ruːam tʰɯ̌ŋ
ต้นทุน	tôn tʰun
นำ	nam
เขียน	kʰǐːan
ใช้เวลา	tɕʰáj weː laː
หน้าต่าง	nâː tàːŋ
อดีต	ʔà dìːt
อากาศ	ʔaː kàːt
ทิ้ง	tʰíŋ
มีแนวโน้ม	miː nɛːw nóːm
ช่อง	tɕʰɔ̂ːŋ
เสีย	sǐːa
พื้นที่	pʰɯ́ːn tʰîː
ส่วนตัว	sùːan tuːa
อุตสาหกรรม	ʔùt sǎː hàʔ kam
เก็บ	kèp
โดยปกติ	doːj pà kà tìʔ
สาย	sǎːj
ตะกั่ว	tàʔ kùːa
ชัดเจน	tɕʰát tɕeːn
ชนะ	tɕʰá náʔ
ทั้งหมด	tʰáŋ mòt
ทั่วไป	tʰûːa paj
เช้า	tɕʰáːw
กิจกรรม	kìt tɕà kam
ปล่อยแล้ว	plɔ̀ːj lɛ́ːw
ตำแหน่ง	tam nɛ̀ŋ
กลับ	klàp
ที่จำเป็น	tʰîː tɕam pen
หัวข้อ	hǔːa kʰɔ̂ː
บัญชี	ban tɕʰiː
สอบถาม	sɔ̀ːp tʰǎːm
ได้รับ	dâj ráp
หมายเหตุ	mǎːj hèːt
บริษัท	bɔː ríʔ sàt
จัดเตรียมให้	tɕàt triːam hâj
ที่ตีพิมพ์	tʰîː tiː pʰim
พลังงาน	pʰá laŋ ŋaːn
ตอนนี้	tɔːn níː
สะอาด	sàʔ ʔàːt
แทน	tʰɛːn
คอมเมนท์	kʰɔːm meːn
สุดท้าย	sùt tʰáːj
อีกต่อไป	ʔìːk tɔ̀ː paj
การฝึกอบรม	kaːn fɯ̀k ʔòp rom
เล่น	lên
ระยะเวลา	ráʔ jáʔ weː laː
สนใจ	sǒn tɕaj
คำ	kʰam
จำนวน	tɕam nuːan
ต้นทาง	tôn tʰaːŋ
พัก	pʰák
สถิติ	sà tʰìʔ tìʔ
ทำงาน	tʰam ŋaːn
รุ่น	rûn
ส่วนที่เพิ่มเข้าไป	sùːan tʰîː pʰɤ̂ːm kʰâw paj
เทคโนโลยี	tʰêːk noː loː jiː
เคยเป็น	kʰɤːj pen
เว็บ	wép
รายละเอียด	raːj láʔ ʔìːat
บทบาท	bòt bàːt
ไป	paj
เริ่ม	rɤ̂ːm
วิชาชีพ	wíʔ tɕʰaː tɕʰîːp
เปลี่ยนแปลง	plìːan plɛːŋ
แข็งแกร่ง	kʰɛ̌ŋ krɛ̀ŋ
พบ	pʰóp
ดู	duː
โรงแรม	roːŋ rɛːm
แน่ใจ	nɛ̂ː tɕaj
พูดว่า	pʰûːt wâː
ความรู้สึก	kʰwaːm rúː sɯ̀k
ซึ่งไปข้างหน้า	sɯ̂ŋ paj kʰâːŋ nâː
ให้	hâj
สีสัน	sǐː sǎn
ล่าสุด	lâː sùt
ภายใน	pʰaːj naj
ผิด	pʰìt
อัลบั้ม	ʔàʔ láʔ bâm
พนักงาน	pʰá nák ŋaːn
ออกแบบ	ʔɔ̀ːk bɛ̀ːp
กระดาษ	kràʔ dàːt
อัศจรรย์	ʔàt sà tɕan
ขับ	kʰàp
หญิง	jǐŋ
จีบ	tɕìːp
ผู้ใช้	pʰûː tɕʰáj
สิทธิ์	sìt
ตัดสินใจแล้ว	tàt sǐn tɕaj lɛ́ːw
ล่าสุด	lâː sùt
คีย์	kʰiː
ต่อ	tɔ̀ː
อัตรา	ʔàt raː
โพสต์	pʰôːt
นั่นเอง	nân ʔeːŋ
โค้ด	kʰóːt
ชอบ	tɕʰɔ̂ːp
ดูเหมือน	duː mɯ̌ːan
การเมือง	kaːn mɯːaŋ
บางที	baːŋ tʰiː
เปอร์เซ็นต์	pɤː sen
จดจำ	tɕòt tɕam
ทดสอบ	tʰót sɔ̀ːp
สิ่งของ	sìŋ kʰɔ̌ːŋ
เขียน	kʰǐːan
คอมพิวเตอร์	kʰɔːm pʰiw tɤː
สาเหตุ	sǎː hèːt
ตัด	tàt
ตาม	taːm
สร้าง	sâːŋ
ผู้เล่น	pʰûː lên
นิยม	níʔ jom
การจัดการ	kaːn tɕàt kaːn
น่าสนใจ	nâː sǒn tɕaj
ลูกชาย	lûːk tɕʰaːj
วิถี	wíʔ tʰǐː
การศึกษา	kaːn sɯ̀k sǎː
เสียง	sǐːaŋ
ซัมเมอร์	sam mɤː
พร้อม	pʰrɔ́ːm
ธรรมชาติ	tʰam má tɕʰâːt
ชาติ	tɕʰâːt
ซอฟท์แวร์	sɔ̂ːf wɛː
พยายาม	pʰá jaː jaːm
ตัวคุณเอง	tuːa kʰun ʔeːŋ
ผู้เล่น	pʰûː lên
ร้อน	rɔ́ːn
สูงขึ้น	sǔːŋ kʰɯ̂n
นโยบาย	ná joː baːj
เกี่ยวข้อง	kìːaw kʰɔ̂ːŋ
ไมล์	maj
ทั้งหมด	tʰáŋ mòt
เจาะจง	tɕɔ̀ʔ tɕoŋ
วิเศษ	wíʔ sèːt
รู้สึก	rúː sɯ̀k
ส่วน	sùːan
คิด	kʰít
ปล่อย	plɔ̀ːj
เพลง	pʰleːŋ
หก	hòk
ได้ยิน	dâj jin
โดยเฉพาะ	doːj tɕʰà pʰɔ́ʔ
ผู้ใช้	pʰûː tɕʰáj
เฉลี่ย	tɕʰà lìːa
ยิน	jin
ตัวพวกเขาเอง	tuːa pʰûːak kʰǎw ʔeːŋ
รปภ	rá pòp
แฟ้ม	fɛ́ːm
คน	kʰon
น้ำมัน	nám man
ปกปิด	pòk pìt
อนุญาต	ʔà núʔ jâːt
ศูนย์กลาง	sǔːn klaːŋ
เงื่อนไข	ŋɯ̂ːan kʰǎj
ถนน	tʰà nǒn
รับ	ráp
บอร์ด	bɔ̀ːd
สงคราม	sǒŋ kʰraːm
วัสดุ	wát sà dùʔ
เมีย	miːa
ชีวิต	tɕʰiː wít
บางครั้ง	baːŋ kʰráŋ
อะไหล่	ʔàʔ làj
รายบุคคล	raːj bùk kʰon
โอกาส	ʔoː kàːt
รายการ	raːj kaːn
ตอบ	tɔ̀ːp
สาว	sǎːw
ตัวเขาเอง	tuːa kʰǎw ʔeːŋ
เดิน	dɤːn
อย่างแน่นอน	jàːŋ nɛ̂ː nɔːn
ผลิต	pʰàʔ lìt
คุ้ม	kʰúm
ระบบ	ráʔ bòp
อักขระ	ʔàk kʰà ràʔ
ตลอดทั้ง	tlɔ̀ːt tʰáŋ
รีวิว	riː wiw
ให้	hâj
อาชีพ	ʔaː tɕʰîːp
เพิ่ม	pʰɤ̂ːm
เอกลักษณ์	ʔèːk kà lák
แม่	mɛ̂ː
สมบูรณ์	sǒm buːn
ภาพ	pʰâːp
แม้ว่า	mɛ́ː wâː
เพิ่มเติม	pʰɤ̂ːm tɤːm
ลูกค้า	lûːk kʰáː
เซ็กซ์	sék
เลือก	lɯ̂ːak
ผู้ปกครอง	pʰûː pòk kʰrɔːŋ
เกี่ยวข้อง	kìːaw kʰɔ̂ːŋ
ทางการแพทย์	tʰaːŋ kaːn pʰɛ̂ːt
ตาม	taːm
พีซ	pʰîːs
บทความ	bòt kʰwaːm
เรด	rêːt
วง	woŋ
ส่ง	sòŋ
สบาย	sà baːj
รอ	rɔː
การท่องเที่ยว	kaːn tʰɔ̂ːŋ tʰîːaw
ขาย	kʰǎːj
สากล	sǎː kon
ของสะสม	kʰɔ̌ːŋ sàʔ sǒm
แอพพลิเคชัน	ʔɛ̀ːp pʰlíʔ kʰeː tɕʰan
ล่าสุด	lâː sùt
โน้ต	nóːt
ฝึกฝน	fɯ̀k fǒn
เครือข่าย	kʰrɯːa kʰàːj
ยินยอม	jin jɔːm
ตำรวจ	tam rùːat
ใหญ่	jàj
ภาษา	pʰaː sǎː
การเงิน	kaːn ŋɤn
กาย	kaːj
ง่ายดาย	ŋâːj daːj
วาระ	waː ráʔ
ชื่อ	tɕʰɯ̂ː
อย่างรวดเร็ว	jàːŋ rûːat rew
ทางเลือก	tʰaːŋ lɯ̂ːak
สร้าง	sâːŋ
พ่อ	pʰɔ̂ː
ข้อความ	kʰɔ̂ː kʰwaːm
สุดท้าย	sùt tʰáːj
กลุ่ม	klùm
การรักษา	kaːn rák sǎː
กุม	kum
ช่วงเวลา	tɕʰûːaŋ weː laː
ฝ่ายขาย	fàːj kʰǎːj
ล่าง	lâːŋ
ก้าว	kâːw
เตียง	tiːaŋ
รูปภาพ	rûːp pʰâːp
ทันสมัย	tʰan sà mǎj
ให้	hâj
หัน	hǎn
เสี่ยง	sìːaŋ
แนะนำ	nɛ́ʔ nam
ยาก	jâːk
ศักยภาพ	sàk kà já pʰâːp
ที่ดิน	tʰîː din
พวก	pʰûːak
โอกาส	ʔoː kàːt
สุดสัปดาห์	sùt sàp daː
พิจารณา	pʰíʔ tɕaː rá naː
ผล	pʰǒn
ประชากร	pràʔ tɕʰaː kɔːn
มาตรฐาน	mâːt tràʔ tʰǎːn
ความรู้	kʰwaːm rúː
น้ำหนัก	nám nàk
รู้	rúː
ประชุม	pràʔ tɕʰum
เส้นผม	sên pʰǒm
หวัง	wǎŋ
เครดิต	kʰreː dìt
ประหยัด	pràʔ jàt
เสียชีวิต	sǐːa tɕʰiː wít
โฟกัส	foː kàt
กิจกรรม	kìt tɕà kam
ช่อง	tɕʰɔ̂ːŋ
ก่อนหน้า	kɔ̀ːn nâː
ประเทศ	pràʔ tʰêːt
ฟิต	fít
นำมา	nam maː
การสูญเสีย	kaːn sǔːn sǐːa
ย้ายไป	jáːj paj
มอง	mɔːŋ
เริ่ม	rɤ̂ːm
รูปภาพ	rûːp pʰâːp
นักศึกษา	nák sɯ̀k sǎː
แทร็ค	tʰrɛ́k
แสดง	sà dɛːŋ
กรณี	kà rá niː
ทริป	tʰá ríp
พิเศษ	pʰíʔ sèːt
แนวคิด	nɛːw kʰít
เป็นผู้นำ	pen pʰûː nam
โต๊ะ	tóʔ
สนใจ	sǒn tɕaj
มีประโยชน์	miː pràʔ jòːt
ค่าใช้จ่าย	kʰâː tɕʰáj tɕàːj
การตัดสินใจ	kaːn tàt sǐn tɕaj
ผู้เขียน	pʰûː kʰǐːan
พื้น	pʰɯ́ːn
ความสามารถ	kʰwaːm sǎː mâːt
แหล่ง	lɛ̀ŋ
สำนัก	sǎm nák
ส่ง	sòŋ
สบายใจ	sà baːj tɕaj
การเรียนรู้	kaːn riːan rúː
จะ	tɕàʔ
ตา	taː
ไว	waj
รูปภาพ	rûːp pʰâːp
ร่วง	rûːaŋ
ภาษี	pʰaː sǐː
เป๊ะ	péʔ
สถานที่	sà tʰǎːn tʰîː
เย็น	jen
อย่างสูง	jàːŋ sǔːŋ
สนใจ	sǒn tɕaj
การตอบสนอง	kaːn tɔ̀ːp sà nɔ̌ːŋ
ประตู	pràʔ tuː
สามารถ	sǎː mâːt
หลักฐาน	làk tʰǎːn
อุปกรณ์	ʔùʔ pà̀kɔːn
โปรแกรม	proː krɛːm
