concept_id,english,language,ours,verdict,suggested,confidence,note
129,pass,Japanese,渡す,wrong_sense,通り過ぎる,med,means hand over
130,sing,Japanese,通る,wrong_sense,歌う,high,means pass through wrong entry
133,float,Hindi,फ्लैश,wrong_sense,तैरना,med,transliteration of flash
135,freeze,Hindi,फ्रीज,untranslated,जमना,high,transliteration of English freeze
138,burn,Hindi,बर्न,untranslated,जलाना,high,transliteration of English burn
141,fry,Hungarian,fry,untranslated,sütni,high,English left as-is
143,stew,Hungarian,pörkölt,wrong_pos,pörköltet főzni,med,noun the stew dish
145,roast,Hindi,रोस्ट,untranslated,भूनना,high,transliteration of English roast
104,lie,Hungarian,hazudj,wrong_sense,feküdj,high,means tell an untruth not recline
116,move,Hindi,मूव,untranslated,हिलना,high,transliteration of English move
127,fall,Hungarian,ősz,wrong_sense,esni,high,means autumn/the season
127,fall,Hindi,पतन,wrong_pos,गिरना,low,noun downfall
100,live,Hindi,सजीव,wrong_pos,जीना,low,adjective animate/living
44,take,Thai,ใช้,wrong_sense,เอา,med,means use
42,put,Thai,นำ,wrong_sense,วาง,med,means bring/lead
36,hold,Thai,เก็บ,wrong_sense,ถือ,med,means keep/store
58,connect,Italian,per connettere,phrase,connettere,med,means in order to connect
59,stick,Hungarian,bot,wrong_sense,ragadni,high,noun a stick/rod
59,stick,Russian,чтобы остаться,phrase,приклеиваться,med,means in order to stay
59,stick,Italian,rimanere,wrong_sense,attaccare,med,means to remain
59,stick,Korean,고집하려면,phrase,붙다,med,means in order to persist
59,stick,Indonesian,tetap,wrong_sense,menempel,med,means stay/remain
59,stick,Hindi,स्टिक,untranslated,चिपकना,high,transliteration of English stick
70,blow,Hungarian,robbantani,wrong_sense,fújni,high,means blow up/detonate
96,break,Hindi,ब्रेक,untranslated,तोड़ना,high,transliteration of English break
96,break,Indonesian,istirahat,wrong_sense,memecahkan,med,means rest/pause
34,drink,Hindi,पेय,wrong_pos,पीना,low,noun beverage
10,return,Hindi,वापसी,wrong_pos,लौटना,low,noun return
150,love,Hungarian,szerelem,wrong_pos,szeretni,med,noun romantic love
150,love,Hindi,प्रेम,wrong_pos,प्यार करना,low,noun love
151,like,Hindi,जैसे,wrong_sense,पसंद करना,med,means like/as comparison
151,like,Greek,να αρεσει,phrase,μου αρέσει,med,subjunctive periphrasis
156,kiss,Hungarian,kiss,untranslated,csók,high,English left as-is
156,kiss,Greek,να φιλήσει,phrase,φιλάω,med,subjunctive periphrasis
156,kiss,Hindi,चुंबन,wrong_pos,चूमना,low,noun a kiss
156,kiss,Arabic,لتقبيل,phrase,يقبّل,med,for-kissing gerund phrase
158,dash,Hungarian,dash,untranslated,rohanni,high,English left as-is
158,dash,German,zu streiten,wrong_sense,stürmen,high,means to quarrel
158,dash,Korean,대시,untranslated,질주하다,med,transliteration of English dash
158,dash,Swahili,kwa dash,untranslated,kukimbia kasi,high,English dash embedded
158,dash,Hindi,डैश,untranslated,झपटना,high,transliteration of English dash
158,dash,Arabic,لاناش,garbage,يندفع,high,transliteration gibberish
158,dash,Hebrew,לדאוף,likely_wrong,להסתער,low,not a standard word
159,shoot,Thai,ในการถ่ายภาพ,wrong_sense,ยิง,high,means taking photographs
159,shoot,Korean,촬영합니다,wrong_sense,쏘다,high,means films/photographs sentence
161,hunt,Hindi,हंट,untranslated,शिकार करना,high,transliteration of English hunt
161,hunt,Hungarian,vadászatot,wrong_pos,vadászni,med,accusative noun the hunt
163,attack,Hungarian,támadás,wrong_pos,támadni,med,noun an attack
164,protect,Hindi,protect,untranslated,रक्षा करना,high,English left as-is
164,protect,Korean,보호하기 위해,phrase,보호하다,med,means in order to protect
165,pile,Hungarian,halom,wrong_pos,halmozni,med,noun a heap
165,pile,Hindi,ढेर,wrong_pos,ढेर लगाना,low,noun a heap
166,store,Hungarian,bolt,wrong_sense,tárolni,high,means shop/retail store
166,store,Hindi,स्टोर,untranslated,भंडारण करना,high,transliteration of English store
167,insert,Hungarian,beszúrása,wrong_pos,beszúrni,med,noun its insertion
167,insert,Korean,삽입하려면,phrase,삽입하다,med,means in order to insert
169,include,Greek,να συμπεριλάβει,phrase,συμπεριλαμβάνω,med,subjunctive periphrasis
172,sweep,Hindi,स्वीप,untranslated,झाड़ू लगाना,high,transliteration of English sweep
172,sweep,Turkish,süpürüyor,wrong_pos,süpürmek,low,conjugated is sweeping
174,travel,Hungarian,utazási,wrong_pos,utazni,med,attributive adjective travel-
174,travel,Hindi,सफर,wrong_pos,यात्रा करना,low,noun journey
175,record,Hungarian,lemez,wrong_sense,rögzíteni,high,means vinyl disc/record
178,focus,Hungarian,fókusz,wrong_pos,összpontosítani,med,noun focus
178,focus,Hindi,फ़ोकस,untranslated,ध्यान केंद्रित करना,med,transliteration of English focus
179,bark,Hungarian,kéreg,wrong_sense,ugatni,high,means tree bark
179,bark,Japanese,叫ぶ,wrong_sense,吠える,high,means shout/yell
179,bark,Korean,껍질로,wrong_sense,짖다,high,means with bark/peel noun
179,bark,Swahili,kwa gome,wrong_sense,kubweka,high,means with tree bark
180,howl,Hungarian,howl,untranslated,üvölteni,high,English left as-is
180,howl,Finnish,kätevästi,garbage,ulvoa,high,means handily/conveniently
180,howl,Korean,울부 짖음으로,wrong_pos,울부짖다,med,noun with-howling
181,call,Korean,전화합니다,phrase,부르다,med,sentence makes a phone call
181,call,Hindi,कॉल,untranslated,बुलाना,high,transliteration of English call
182,scream,Korean,비명을 지르기 위해,phrase,비명 지르다,med,means in order to scream
184,crow,Hungarian,varjú,wrong_sense,kukorékolni,high,means the bird crow
184,crow,Welsh,frân,wrong_sense,,high,means the bird crow
184,crow,Hindi,कौवा,wrong_sense,बाँग देना,high,means the bird crow
188,like,Hungarian,tetszik,wrong_sense,hasonlítani,high,this sense is resemble
188,like,Finnish,pitää,wrong_sense,muistuttaa,high,this sense is resemble
188,like,German,mögen,wrong_sense,ähneln,high,this sense is resemble
188,like,Spanish,gustar,wrong_sense,parecerse,high,this sense is resemble
188,like,Italian,piacere,wrong_sense,somigliare,high,this sense is resemble
188,like,Russian,нравится,wrong_sense,походить,high,this sense is resemble
188,like,Turkish,beğenmek,wrong_sense,benzemek,high,this sense is resemble
188,like,Korean,좋아하다,wrong_sense,닮다,high,this sense is resemble
188,like,Vietnamese,thích,wrong_sense,giống,med,this sense is resemble
188,like,Indonesian,menyukai,wrong_sense,menyerupai,med,this sense is resemble
188,like,Hebrew,לחבב,wrong_sense,להידמות,med,this sense is resemble
188,like,Swahili,kupenda,wrong_sense,kufanana,med,this sense is resemble
188,like,Greek,να αρεσει,wrong_sense,μοιάζω,med,this sense is resemble
188,like,Thai,ที่ชื่นชอบ,wrong_sense,คล้าย,med,this sense is resemble
189,show,Hungarian,show,untranslated,megmutatni,high,English left as-is
189,show,Korean,보여주기 위해,phrase,보여주다,med,means in order to show
190,hang,Hindi,हैंग,untranslated,लटकाना,high,transliteration of English hang
190,hang,Turkish,takılmak,wrong_sense,asmak,med,means get stuck/hang out
192,measure,Hungarian,intézkedés,wrong_sense,megmérni,high,means a measure/step taken
193,swing,Hungarian,swing,untranslated,hintázni,high,English left as-is
193,swing,Korean,스윙,untranslated,흔들다,med,transliteration of English swing
193,swing,Swahili,kwa swing,untranslated,kupembea,high,English swing embedded
193,swing,Hindi,झूले,wrong_pos,झूलना,low,noun swings
194,shake,Hungarian,shake,untranslated,rázni,high,English left as-is
194,shake,Korean,흔들려면,phrase,흔들다,med,means in order to shake
194,shake,Hindi,शेक,untranslated,हिलाना,high,transliteration of English shake
195,tremble,Hindi,घबराना,wrong_sense,काँपना,med,means to panic/be nervous
196,work,Hungarian,munka,wrong_pos,dolgozni,med,noun work
201,mix,Hungarian,keverék,wrong_pos,keverni,med,noun mixture
201,mix,Korean,믹스,untranslated,섞다,med,transliteration of English mix
201,mix,Hindi,मिक्सर,wrong_sense,मिलाना,med,means mixer appliance
202,bend,Hungarian,kanyar,wrong_sense,hajlítani,high,means bend/curve in a road
202,bend,Hindi,बेंड,untranslated,मोड़ना,high,transliteration of English bend
203,feed,Hungarian,takarmányok,wrong_sense,etetni,high,means fodder noun plural
203,feed,Hindi,फीड,untranslated,खिलाना,high,transliteration of English feed
204,rear,Hungarian,hátsó,wrong_sense,nevelni,high,means rear/back position
204,rear,Finnish,takaa,wrong_sense,kasvattaa,high,means from behind
204,rear,Greek,πίσω,wrong_sense,ανατρέφω,high,means behind
204,rear,Russian,чтобы сзади,wrong_sense,растить,high,means to the back
204,rear,German,nach hinten,wrong_sense,aufziehen,high,means to the rear
204,rear,Vietnamese,phía sau,wrong_sense,nuôi dạy,med,means behind
204,rear,Turkish,arkaya,wrong_sense,yetiştirmek,high,means to the back
204,rear,Arabic,إلى الخلف,wrong_sense,يربّي,med,means to the back
204,rear,Hebrew,לאחור,wrong_sense,לגדל,med,means backwards
204,rear,Hindi,पश्च,wrong_sense,पालना,med,means posterior/rear
204,rear,Indonesian,ke belakang,wrong_sense,membesarkan,med,means to the back
205,roll,Hungarian,roll,untranslated,gurítani,high,English left as-is
205,roll,Korean,롤,untranslated,굴리다,med,transliteration of English roll
205,roll,Hindi,फेंकें,wrong_sense,लुढ़काना,med,means throw
206,slide,Hindi,स्लाइड,untranslated,फिसलना,high,transliteration of English slide
207,cover,Hungarian,borító,wrong_pos,befedni,med,noun a cover
207,cover,Hindi,कवर,untranslated,ढकना,med,transliteration of English cover
207,cover,Turkish,örtbas etmek,wrong_sense,örtmek,med,means cover up a scandal
208,support,Hungarian,támogatást,wrong_pos,támogatni,med,accusative noun support
208,support,Hindi,support,untranslated,समर्थन करना,high,English left as-is
208,support,Korean,지원합니다,phrase,지원하다,med,sentence form
209,load,Hungarian,terhelés,wrong_pos,megrakni,med,noun load/burden
209,load,Korean,로드하려면,phrase,싣다,med,means in order to load
209,load,Hindi,लोड,untranslated,लादना,high,transliteration of English load
211,fold,Hungarian,hajtás,wrong_pos,hajtani,med,noun a fold/crease
212,shrink,Hungarian,pszichiáter,wrong_sense,összemenni,high,means psychiatrist slang
213,spill,Hungarian,bukás,wrong_sense,kiönteni,high,means fall/downfall
214,release,Hindi,रिलीज,untranslated,मुक्त करना,med,transliteration of English release
216,fill,Greek,να γεμίσω,phrase,γεμίζω,med,subjunctive periphrasis
216,fill,Korean,채우기 위해,phrase,채우다,med,means in order to fill
217,pour,German,zu arm,garbage,gießen,high,means too poor mis-split
218,soak,Greek,να απολαύσω,wrong_sense,μουλιάζω,high,means to enjoy
229,stretch,Hungarian,stretch,untranslated,nyújtani,high,English left as-is
230,wrinkle,Spanish,arruinar,wrong_sense,arrugarse,high,means to ruin
230,wrinkle,Italian,per raggruppare,wrong_sense,raggrinzire,med,means to group
230,wrinkle,Hungarian,ránc,wrong_pos,ráncosodni,med,noun a wrinkle
232,dye,Hungarian,festék,wrong_pos,festeni,med,noun paint/dye
232,dye,Hindi,डाई,untranslated,रंगना,high,transliteration of English dye
232,dye,Korean,염료에,wrong_pos,염색하다,med,noun dye plus particle
233,wrap,Hungarian,wrap,untranslated,becsomagolni,high,English left as-is
233,wrap,Hindi,रैप,untranslated,लपेटना,high,transliteration of English wrap
235,peel,Hungarian,peel,untranslated,hámozni,high,English left as-is
238,handle,Hindi,हैंडल,untranslated,संभालना,high,transliteration of English handle
238,handle,Arabic,لكي يعلق,wrong_sense,يتعامل مع,med,means to comment/hang
242,arrange,Hungarian,gondoskodjon,wrong_sense,rendezni,med,means see to it imperative
244,filter,Hungarian,szűrő,wrong_pos,szűrni,med,noun a filter
244,filter,Hindi,फिल्टर,untranslated,छानना,med,transliteration of English filter
248,inherit,German,übernehmen,wrong_sense,erben,med,means take over
249,train,Hungarian,vonat,wrong_sense,edzeni,high,means the train vehicle
249,train,Italian,al treno,wrong_sense,allenare,high,means to the train
249,train,Turkish,trene,wrong_sense,eğitmek,high,means to the train dative
249,train,Finnish,junaan,wrong_sense,kouluttaa,high,means into the train
253,crawl,Hindi,क्रॉल,untranslated,रेंगना,high,transliteration of English crawl
255,employ,Hindi,काम,wrong_sense,नियुक्त करना,med,means work noun
270,paste,Hungarian,paszta,wrong_sense,beilleszteni,high,means paste the substance
273,chat,Hungarian,csevegés,wrong_pos,csevegni,med,noun a chat
273,chat,Hindi,गपशप,wrong_pos,गपशप करना,low,noun gossip
277,control,Hungarian,ellenőrzés,wrong_pos,ellenőrizni,med,noun check/inspection
277,control,Hindi,कंट्रोल,untranslated,नियंत्रित करना,med,transliteration of English control
302,lead,Hindi,सीसे,wrong_sense,नेतृत्व करना,high,means lead the metal
311,plough,Russian,плавать,wrong_sense,пахать,high,means to swim/sail
311,plough,Hungarian,eke,wrong_sense,szántani,high,noun the plough implement
311,plough,Greek,να αλέσω,wrong_sense,οργώνω,high,means to grind
313,sow,Hungarian,koca,wrong_sense,vetni,high,means a female pig
314,reap,Turkish,yaratmak için,wrong_sense,biçmek,high,means in order to create
315,weave,Italian,ondeggiare,wrong_sense,tessere,high,means to sway/wave
318,steer,Hindi,रास्ते पर लाना,phrase,चलाना,med,phrase bring onto the path
319,guide,Hungarian,útmutató,wrong_pos,irányítani,med,noun guidebook/guideline
319,guide,Hindi,मार्गदर्शिका,wrong_pos,मार्गदर्शन करना,med,noun guidebook feminine
320,miss,Hungarian,kisasszony,wrong_sense,elhibázni,high,means Miss the title
321,miss,Hungarian,kisasszony,wrong_sense,hiányozni,high,means Miss the title
322,scold,Finnish,huutaa,wrong_sense,moittia,med,means to shout
322,scold,Greek,να πειράξει,wrong_sense,μαλώνω,med,means to tease/annoy
324,fix,Hungarian,fix,untranslated,megjavítani,med,English or adjective fixed
325,scoop,Hungarian,gombóc,wrong_sense,kimerni,high,noun scoop of ice cream
325,scoop,Russian,чтобы сочетать,wrong_sense,зачерпнуть,high,means in order to combine
325,scoop,Greek,για να σέσουσω,garbage,κουταλιάζω,high,not a real word
325,scoop,Finnish,kaatamaan,wrong_sense,ammentaa,med,means to pour
325,scoop,Korean,국자,wrong_sense,푸다,med,noun a ladle
329,roam,Korean,로밍에,wrong_sense,배회하다,med,means telecom roaming plus particle
332,slanted,Welsh,slanted,untranslated,ar oleddf,high,English left as-is
349,light,Hungarian,fényt,wrong_sense,halvány,high,accusative noun illumination
349,light,Russian,свет,wrong_sense,бледный,high,noun illumination
349,light,Spanish,luz,wrong_sense,claro,high,noun illumination
349,light,German,licht,wrong_sense,blass,high,noun illumination
349,light,Hebrew,אור,wrong_sense,בהיר,high,noun illumination
349,light,Vietnamese,ánh sáng,wrong_sense,nhạt,med,noun illumination
349,light,Hindi,लाइट,untranslated,हल्का,high,transliteration of English light
349,light,Finnish,kevyt,wrong_sense,vaalea,med,means light in weight
349,light,Greek,ελαφρύ,wrong_sense,ανοιχτό,med,means light in weight
349,light,Thai,เบา,wrong_sense,อ่อน,med,means light in weight
351,light,Hungarian,fényt,wrong_sense,könnyű,high,accusative noun illumination
351,light,Russian,свет,wrong_sense,лёгкий,high,noun illumination
351,light,Spanish,luz,wrong_sense,ligero,high,noun illumination
351,light,German,licht,wrong_sense,leicht,high,noun illumination
351,light,Hebrew,אור,wrong_sense,קל,high,noun illumination
351,light,Vietnamese,ánh sáng,wrong_sense,nhẹ,med,noun illumination
351,light,Hindi,लाइट,untranslated,हल्का,high,transliteration of English light
351,light,Italian,chiaro,wrong_sense,leggero,med,means pale or clear
355,long,Hindi,long,untranslated,लंबा,high,English left as-is
364,fine,Hungarian,bírság,wrong_sense,finom,high,means a monetary penalty
364,fine,Greek,καλά,wrong_sense,λεπτός,high,means well or okay
364,fine,Russian,нормально,wrong_sense,тонкий,high,means okay
364,fine,German,in ordnung,wrong_sense,fein,high,means okay
364,fine,Spanish,bien,wrong_sense,fino,high,means well
364,fine,Italian,va bene,wrong_sense,fine,high,means okay
364,fine,Vietnamese,tốt,wrong_sense,mịn,med,means good
364,fine,Korean,그것은 괜찮습니다,phrase,가늘다,med,sentence it is okay
364,fine,Thai,ไม่ไร,garbage,ละเอียด,med,not a valid word
364,fine,Turkish,iyi,wrong_sense,ince,high,means good
364,fine,Arabic,انها على ما يرام,phrase,ناعم,med,phrase it is okay
364,fine,Hebrew,בסדר,wrong_sense,דק,high,means okay
364,fine,Swahili,sawa,wrong_sense,laini,med,means okay
364,fine,Hindi,ठीक,wrong_sense,महीन,med,means okay
367,high,Welsh,high,untranslated,uchel,high,English left as-is
378,hot,Hungarian,dögös,wrong_sense,forró,high,means sexually attractive slang
378,hot,Hindi,hot,untranslated,गरम,high,English left as-is
380,cool,Hungarian,menő,wrong_sense,hűvös,high,means trendy or cool style
380,cool,Russian,круто,wrong_sense,прохладный,high,means awesome
380,cool,German,cool,wrong_sense,kühl,high,loan means awesome
380,cool,Spanish,genial,wrong_sense,fresco,high,means great
380,cool,Greek,ειναι ενταξει,wrong_sense,δροσερός,high,means it is okay
380,cool,Welsh,cwl,untranslated,oer,med,English loan slang
380,cool,Thai,เจ๋ง,wrong_sense,เย็น,med,means awesome
380,cool,Turkish,harika,wrong_sense,serin,high,means wonderful
380,cool,Hebrew,מגניב,wrong_sense,קריר,high,means awesome
380,cool,Hindi,कूल,untranslated,ठंडा,high,transliteration of English cool
380,cool,Indonesian,keren,wrong_sense,sejuk,med,means cool or awesome
380,cool,Finnish,siistiä,wrong_sense,viileä,med,means to tidy up verb
401,disgusted,Hungarian,felháborodott,wrong_sense,undorodott,med,means outraged or indignant
401,disgusted,Hindi,निराश,wrong_sense,घृणा से भरा,med,means disappointed
404,angry,Hindi,एंग्री,untranslated,क्रोधित,high,transliteration of English angry
407,curious,Swahili,curious,untranslated,mdadisi,high,English left as-is
409,boring,Swahili,boring,untranslated,-a kuchosha,high,English left as-is
435,stable,Hungarian,istálló,wrong_sense,stabil,low,means horse stable building
441,odd,Hungarian,furcsa,wrong_sense,páratlan,high,means strange not odd number
441,odd,Finnish,outo,wrong_sense,pariton,high,means strange
441,odd,German,seltsam,wrong_sense,ungerade,high,means strange
441,odd,Spanish,extraño,wrong_sense,impar,high,means strange
441,odd,Italian,strano,wrong_sense,dispari,high,means strange
441,odd,Russian,странный,wrong_sense,нечётный,high,means strange
441,odd,Korean,이상한,wrong_sense,홀수의,high,means strange
441,odd,Thai,แปลก,wrong_sense,คี่,med,means strange
441,odd,Indonesian,aneh,wrong_sense,ganjil,med,means strange
441,odd,Turkish,garip,wrong_sense,tek,high,means strange
441,odd,Arabic,غريب,wrong_sense,فردي,high,means strange
441,odd,Hebrew,מוזר,wrong_sense,אי-זוגי,high,means strange
442,even,Hungarian,még,wrong_sense,páros,high,means still or yet adverb
442,even,Finnish,jopa,wrong_sense,parillinen,high,means even or as-much-as adverb
442,even,Greek,ακόμη και,wrong_sense,ζυγός,high,means even or also adverb
442,even,Russian,даже,wrong_sense,чётный,high,means even or also adverb
442,even,German,selbst,wrong_sense,gerade,high,means even or also adverb
442,even,Spanish,incluso,wrong_sense,par,high,means even or also adverb
442,even,Italian,anche,wrong_sense,pari,high,means also
442,even,Korean,심지어,wrong_sense,짝수의,high,means even or also adverb
442,even,Arabic,حتى,wrong_sense,زوجي,high,means even or until adverb
442,even,Hebrew,אֲפִילוּ,wrong_sense,זוגי,high,means even or also adverb
442,even,Hindi,भी,wrong_sense,सम,high,means also
442,even,Thai,สม่ำเสมอ,wrong_sense,คู่,med,means steady or regular
443,single,Hungarian,szingli,wrong_pos,egyetlen,med,loan noun unmarried person
443,single,Italian,separare,wrong_sense,singolo,med,verb to separate
445,good,Hindi,शुभ,wrong_sense,अच्छा,med,means auspicious
461,fair,Greek,έκθεση,wrong_sense,δίκαιο,high,means report or exhibition
461,fair,Hebrew,יריד,wrong_sense,הוגן,high,means a marketplace fair
461,fair,Hindi,मेला,wrong_sense,निष्पक्ष,high,means a carnival fair
461,fair,Vietnamese,hội chợ,wrong_sense,công bằng,med,means trade fair
467,clean,Hungarian,clean,untranslated,tiszta,high,English left as-is
470,fresh,Hindi,भैस,garbage,ताज़ा,high,means buffalo or typo
477,rich,Hungarian,rich,untranslated,gazdag,high,English left as-is
478,busy,Swahili,busy,untranslated,-enye shughuli,high,English left as-is
508,sane,Hindi,गुरूजी,garbage,समझदार,high,means guru or teacher
512,sober,Swahili,sober,untranslated,mwenye kiasi,high,English left as-is
516,probable,Korean,유망한 후보자,wrong_sense,개연성 있는,med,means promising candidate
524,black,Hungarian,black,untranslated,fekete,high,English left as-is
524,black,Hindi,ब्लैक,untranslated,काला,high,transliteration of English black
526,red,Hindi,रेड,untranslated,लाल,high,transliteration of English red
529,green,Hindi,ग्रीन,untranslated,हरा,high,transliteration of English green
530,blue,Hungarian,blue,untranslated,kék,high,English left as-is
530,blue,Hindi,ब्लू,untranslated,नीला,high,transliteration of English blue
533,brown,Vietnamese,no co mau nâu,phrase,nâu,med,sentence it has brown color
538,I,Swahili,i,untranslated,mimi,high,English left as-is
539,you,Japanese,彼方,wrong_sense,あなた,med,kanji means yonder direction
542,it,Turkish,bt,garbage,o,high,not a word
542,it,Swahili,it,untranslated,,low,English left as-is
544,you,Japanese,彼方達,likely_wrong,あなたたち,med,nonstandard kanji for anatatachi
550,who,Finnish,who,untranslated,kuka,high,English left as-is
550,who,Hebrew,who,untranslated,מי,high,English left as-is
550,who,Swahili,who,untranslated,nani,high,English left as-is
559,not,Turkish,olumsuzluk,wrong_pos,değil,med,noun negation or negativity
584,ten,Hindi,टेन,untranslated,दस,high,transliteration of English ten
599,population,Hindi,जनसांख्यिकी,wrong_sense,जनसंख्या,med,means demography or demographics
